OBJECTID,SHAPE_Leng,SHAPE_Area,MEAN,_count_0,_sum_0,shadow_percent_0,sunlight_percent_0,shadow_free_area_0,energy_0,_count_19,_sum_19,shadow_percent_19,sunlight_percent_19,shadow_free_area_19,energy_19,_count_6,_sum_6,shadow_percent_6,sunlight_percent_6,Shadow_free_area_6,energy_6,_count_7,_sum_7,shadow_percent_7,sunlight_percent_7,shadow_free_area_7,energy_7,_count_8,_sum_8,shadow_percent_8,sunlight_percent_8,shadow_free_area_8,energy_8,_count_9,_sum_9,shadow_percent_9,sunlight_percent_9,shadow_free_area_9,energy_9,_count_10,_sum_10,shadow_percent_10,sunlight_percent_10,shadow_free_area_10,energy_10,_count_11,_sum_11,shadow_percent_11,sunlight_percent_11,shadow_free_area_11,energy_11,_count_12,_sum_12,shadow_percent_12,sunlight_percent_12,shadow_free_area_12,energy_12,_count_13,_sum_13,shadow_percent_13,sunlight_percent_13,shadow_free_area_13,energy_13,_count_14,_sum_14,shadow_percent_14,sunlight_percent_14,shadow_free_area_14,energy_14,_count_15,_sum_15,shadow_percent_15,sunlight_percent_15,shadow_free_area_15,energy_15,_count_16,_sum_16,shadow_percent_16,sunlight_percent_16,shadow_free_area_16,energy_16,_count_17,_sum_17,shadow_percent_17,sunlight_percent_17,shadow_free_area_17,energy_17,_count_18,_sum_18,shadow_percent_18,sunlight_percent_18,shadow_free_area_18,energy_18,energy_final,shadow_final,energy_total
697,0.000959389,430.2253369,18.4541348,412,412,96,4,17.20901348,0.378598296,16.92429069,16.92429069,4,96,413.0163234,0.70212775,16.53482443,16.53482443,4,96,413.0163234,16.29390698,104,104,24,76,326.971256,51.53949818,16.92429069,16.92429069,4,96,413.0163234,137.9024332,16.8278038,16.8278038,4,96,413.0163234,220.5564989,16.53482443,16.53482443,4,96,413.0163234,257.3822734,6.892192175,6.892192175,2,98,421.6208302,274.0535396,6.892192175,6.892192175,2,98,421.6208302,306.192009,9.319371489,9.319371489,2,98,421.6208302,328.4426267,9.35105739,9.35105739,2,98,421.6208302,313.0239529,11.9380232,11.9380232,3,97,417.3185768,278.8222261,12.05128173,12.05128173,3,97,417.3185768,216.0708663,12.24808998,12.24808998,3,97,417.3185768,137.5598878,14.66419501,14.66419501,3,97,417.3185768,61.06664466,173.3324727,382.2859422,2599.98709
698,0.00128876,642.5575756,16.86345989,627,627,98,2,12.85115151,0.282725333,542,542,84,16,102.8092121,0.174775661,2,2,0,100,642.5575756,25.34953891,336,336,52,48,308.4276363,48.61652302,141,141,22,78,501.1949089,167.3444693,101,101,16,84,539.7483635,288.2331826,2,2,0,100,642.5575756,400.4271023,2,2,0,100,642.5575756,417.6624241,11.67680134,11.67680134,2,98,629.7064241,457.3091775,4.42026715,4.42026715,1,99,636.1319998,495.5468279,5.602899436,5.602899436,1,99,636.1319998,472.2834806,14.06975722,14.06975722,2,98,629.7064241,420.7244937,14.99321174,14.99321174,2,98,629.7064241,326.0367981,16.02554152,16.02554152,2,98,629.7064241,207.5688691,16.82231188,16.82231188,3,97,623.2808483,91.20530981,254.5843799,511.751212,3818.765698
699,0.000793593,442.8134521,10.22091859,439,439,99,1,4.428134521,0.097418959,439,439,99,1,4.428134521,0.007527829,7.760152572,7.760152572,2,98,433.9571831,17.12004483,2,2,0,100,442.8134521,69.79935602,9.002265805,9.002265805,2,98,433.9571831,144.8943978,8.788801029,8.788801029,2,98,433.9571831,231.7392112,7.760152572,7.760152572,2,98,433.9571831,270.4321355,4.148978533,4.148978533,1,99,438.3853176,284.9504564,3.002299668,3.002299668,1,99,438.3853176,318.3668157,0,0,0,100,442.8134521,344.9516792,8.404115156,8.404115156,2,98,433.9571831,322.1828314,11.39905797,11.39905797,3,97,429.5290486,286.9803842,11.55132594,11.55132594,3,97,429.5290486,222.3929602,11.55132594,11.55132594,3,97,429.5290486,141.5848012,64,64,14,86,380.8195688,55.72570833,180.7483819,369.7492325,2711.225729
700,0.000720716,318.149185,10.4359066,324,324,102,-2,-6.3629837,-0.139985641,324,324,102,-2,-6.3629837,-0.010817072,4.482752319,4.482752319,1,99,314.9676932,12.42579046,6,6,2,98,311.7862013,49.14592355,6.9877915,6.9877915,2,98,311.7862013,104.1026065,4.822440532,4.822440532,2,98,311.7862013,166.4981965,4.482752319,4.482752319,1,99,314.9676931,196.2806221,4.482752319,4.482752319,1,99,314.9676931,204.7290005,3.992071081,3.992071081,1,99,314.9676931,228.7377279,0,0,0,100,318.149185,247.8382151,3.040917406,3.040917406,1,99,314.9676931,233.8414644,4.387159681,4.387159681,1,99,314.9676931,210.4387349,5.135222373,5.135222373,2,98,311.7862013,161.4304236,9,9,3,97,308.6047094,101.7247532,48,48,15,85,270.4268072,39.57182513,130.4409654,264.7455718,1956.614481
701,0.001269643,425.0486987,12.85961705,277,277,65,35,148.7670445,3.27287498,13.82485503,13.82485503,3,97,412.2972377,0.700905304,12.39047858,12.39047858,3,97,412.2972377,16.26553833,12.82942004,12.82942004,3,97,412.2972377,64.98917669,12.33546864,12.33546864,3,97,412.2972377,137.662337,12.33546864,12.33546864,3,97,412.2972377,220.1724971,12.39047858,12.39047858,3,97,412.2972377,256.9341557,10.6631133,10.6631133,3,97,412.2972377,267.9932045,8.491292672,8.491292672,2,98,416.5477247,302.5077879,0,0,0,100,425.0486987,331.1129363,10.46079669,10.46079669,2,98,416.5477247,309.2575273,12.16953752,12.16953752,3,97,412.2972377,275.4673289,13.15148387,13.15148387,3,97,412.2972377,213.4710178,12.90183297,12.90183297,3,97,412.2972377,135.9047139,12.54513202,12.54513202,3,97,412.2972377,60.3318671,173.0695913,394.9916835,2596.043869
702,0.001227961,426.7530817,8.812491529,425,425,100,0,0,0,425,425,100,0,0,0,9.662353074,9.662353074,2,98,418.2180201,16.49911911,11.01429086,11.01429086,3,97,413.9504893,65.24977377,10.03378704,10.03378704,2,98,418.2180201,139.6392329,9.523327374,9.523327374,2,98,418.2180201,223.3342778,9.662353074,9.662353074,2,98,418.2180201,260.6238511,9.497058631,9.497058631,2,98,418.2180201,271.8417131,4.579214109,4.579214109,1,99,422.4855509,306.8199917,0,0,0,100,426.7530817,332.4406507,11.03619837,11.03619837,3,97,413.9504893,307.3292617,15.22052286,15.22052286,4,96,409.6829584,273.7206557,16.32243347,16.32243347,4,96,409.6829584,212.1174486,16.46145917,16.46145917,4,96,409.6829584,135.0429742,16.10444471,16.10444471,4,96,409.6829584,59.94931699,173.6405512,356.3388232,2604.608267
703,0.000900503,343.1121058,8.074003424,348,348,101,-1,-3.431121058,-0.075484663,305,305,89,11,37.74233163,0.064161964,4.159009788,4.159009788,1,99,339.6809847,13.40075453,7.830581524,7.830581524,2,98,336.2498637,53.00205726,7.384148897,7.384148897,2,98,336.2498637,112.2708032,5.540962595,5.540962595,2,98,336.2498637,179.5621347,4.159009788,4.159009788,1,99,339.6809847,211.681377,2.075719514,2.075719514,1,99,339.6809847,220.7926401,2.070475444,2.070475444,1,99,339.6809847,246.6851628,0,0,0,100,343.1121058,267.2843304,2.687986308,2.687986308,1,99,339.6809847,252.1893535,4.492619641,4.492619641,1,99,339.6809847,226.950377,4.464950803,4.464950803,1,99,339.6809847,175.8732266,4.464950803,4.464950803,1,99,339.6809847,111.9683636,6.09027253,6.09027253,2,98,336.2498637,49.2037788,141.3902025,292.8706903,2120.853037
704,0.00086473,332.1072843,6.701564745,333,333,100,0,0,0,333,333,100,0,0,0,6.652805741,6.652805741,2,98,325.4651386,12.83992518,10.29462964,10.29462964,3,97,322.1440658,50.77860266,9.168934589,9.168934589,3,97,322.1440658,107.5610043,8.839535216,8.839535216,3,97,322.1440658,172.0294412,6.652805741,6.652805741,2,98,325.4651387,202.8223887,5.470008504,5.470008504,2,98,325.4651387,211.5523401,3.566925393,3.566925393,1,99,328.7862115,238.7730952,0,0,0,100,332.1072843,258.7115745,4.013461085,4.013461085,1,99,328.7862115,244.100747,5.319688924,5.319688924,2,98,325.4651387,217.4523722,5.392121012,5.392121012,2,98,325.4651387,168.5128302,5.392121012,5.392121012,2,98,325.4651387,107.2824227,6.482023023,6.482023023,2,98,325.4651387,47.6256392,136.0028255,279.2073384,2040.042383
705,0.000735996,367.039961,12.31610159,374,374,102,-2,-7.34079922,-0.161497583,369,369,101,-1,-3.67039961,-0.006239679,1.290565987,1.290565987,0,100,367.039961,14.4800935,4.943202925,4.943202925,1,99,363.3695614,57.27685386,3.289752315,3.289752315,1,99,363.3695614,121.3258262,1.570250416,1.570250416,0,100,367.039961,196.0044777,1.290565987,1.290565987,0,100,367.039961,228.7308618,1.290565987,1.290565987,0,100,367.039961,238.5759747,0,0,0,100,367.039961,266.5539627,0,0,0,100,367.039961,285.9241296,4.195330349,4.195330349,1,99,363.3695614,269.7764635,4.195330349,4.195330349,1,99,363.3695614,242.7773783,4.195330349,4.195330349,1,99,363.3695614,188.1382241,4.195330349,4.195330349,1,99,363.3695614,119.7767818,4.195330349,4.195330349,1,99,363.3695614,53.17223129,152.1563681,311.9839669,2282.345522
706,0.000554618,205.6904137,10.39499319,205,205,100,0,0,0,201,201,98,2,4.113808274,0.006993474,2.794237143,2.794237143,1,99,203.6335096,8.033545586,8.435350133,8.435350133,4,96,197.4627972,31.12546833,5.632966579,5.632966579,3,97,199.5197013,66.61783258,2.794237143,2.794237143,1,99,203.6335096,108.743145,2.794237143,2.794237143,1,99,203.6335096,126.8997196,2.794237143,2.794237143,1,99,203.6335096,132.3617812,2.794237143,2.794237143,1,99,203.6335096,147.8839491,0,0,0,100,205.6904137,160.2328323,4.425328377,4.425328377,2,98,201.5766054,149.6565192,7.544919237,7.544919237,4,96,197.4627972,131.9304237,7.150485975,7.150485975,3,97,199.5197013,103.3033205,7.150485975,7.150485975,3,97,199.5197013,65.7672801,19,19,9,91,187.1782765,27.38998437,83.996853,171.8984172,1259.952795
