OBJECTID,SHAPE_Leng,SHAPE_Area,MEAN,_count_0,_sum_0,shadow_percent_0,sunlight_percent_0,shadow_free_area_0,energy_0,_count_19,_sum_19,shadow_percent_19,sunlight_percent_19,shadow_free_area_19,energy_19,_count_6,_sum_6,shadow_percent_6,sunlight_percent_6,shadow_free_area_6,energy_6,_count_7,_sum_7,shadow_percent_7,sunlight_percent_7,shadow_free_area_7,energy_7,_count_8,_sum_8,shadow_percent_8,sunlight_percent_8,shadow_free_area_8,energy_8,_count_9,_sum_9,shadow_percent_9,sunlight_percent_9,shadow_free_area_9,energy_9,_count_10,_sum_10,shadow_percent_10,sunlight_percent_10,shadow_free_area_10,energy_10,_count_11,_sum_11,shadow_percent_11,sunlight_percent_11,shadow_free_area_11,energy_11,_count_12,_sum_12,shadow_percent_12,sunlight_percent_12,shadow_free_area_12,energy_12,_count_13,_sum_13,shadow_percent_13,sunlight_percent_13,shadow_free_area_13,energy_13,_count_14,_sum_14,shadow_percent_14,sunlight_percent_14,shadow_free_area_14,energy_14,_count_15,_sum_15,shadow_percent_15,sunlight_percent_15,shadow_free_area_15,energy_15,_count_16,_sum_16,shadow_percent_16,sunlight_percent_16,shadow_free_area_16,energy_16,_count_17,_sum_17,shadow_percent_17,sunlight_percent_17,shadow_free_area_17,energy_17,_count_18,_sum_18,shadow_percent_18,sunlight_percent_18,shadow_free_area_18,energy_18,energy_final,shadow_final,energy_total
2810,0.000471898,128.2919858,9.132730293,127,127,99,1,1.282919858,0.008805962,127,127,99,1,1.282919858,0.001018638,127,127,99,1,1.282919858,0.004873813,127,127,99,1,1.282919858,0.095154166,18,18,14,86,110.3311078,33.88500017,6.640054493,6.640054493,5,95,121.8773865,59.04130612,6.640054493,6.640054493,5,95,121.8773865,84.92014099,6.629983967,6.629983967,5,95,121.8773865,101.0732823,5.206647918,5.206647918,4,96,123.1603064,107.9422495,4.841233147,4.841233147,4,96,123.1603064,110.5361287,4.231652382,4.231652382,3,97,124.4432263,106.8001634,4.438428796,4.438428796,3,97,124.4432263,89.20949119,4.765122854,4.765122854,4,96,123.1603064,63.08295526,5.193722518,5.193722518,4,96,123.1603064,33.94150252,6.640054493,6.640054493,5,95,121.8773865,9.917041066,53.36394092,89.6333341,853.8230547
2812,0.000553518,114.9212483,10.70004559,113,113,98,2,2.298424967,0.015776389,90,90,78,22,25.28267463,0.020074444,99,99,86,14,16.08897477,0.061122015,107,107,93,7,8.044487384,0.596659629,7.281364252,7.281364252,6,94,108.0259734,33.17704499,6.124102499,6.124102499,5,95,109.1751859,52.88795367,6.124102499,6.124102499,5,95,109.1751859,76.06966677,6.124102499,6.124102499,5,95,109.1751859,90.53930921,5.074194396,5.074194396,4,96,110.3243984,96.69238477,5.816844797,5.816844797,5,95,109.1751859,97.98451101,5.375942908,5.375942908,5,95,109.1751859,93.69676476,6.729349777,6.729349777,6,94,108.0259734,77.44047153,7.837106277,7.837106277,7,93,106.876761,54.74249071,7.194712983,7.194712983,6,94,108.0259734,29.77066197,7.810413666,7.810413666,7,93,106.876761,8.696455162,47.49275647,83.04975546,759.8841035
2813,0.000558482,163.9346978,7.092787933,164,164,100,0,0,0,164,164,100,0,0,0,164,164,100,0,0,0,164,164,100,0,0,0,4.977947886,4.977947886,3,97,159.0166568,48.83735466,3.640333406,3.640333406,2,98,160.6560038,77.82690924,3.745942887,3.745942887,2,98,160.6560038,111.9398018,3.049685957,3.049685957,2,98,160.6560038,133.2325059,3.547222864,3.547222864,2,98,160.6560038,140.804866,3.564111844,3.564111844,2,98,160.6560038,144.1884421,2.837997131,2.837997131,2,98,160.6560038,137.8788382,3.054882711,3.054882711,2,98,160.6560038,115.1693088,2.859291395,2.859291395,2,98,160.6560038,82.28832647,2.859291395,2.859291395,2,98,160.6560038,44.27486678,2.859291395,2.859291395,2,98,160.6560038,13.07241837,69.96757589,117.705113,1119.481214
2814,0.000371323,86.660605,4.964682341,85,85,98,2,1.7332121,0.011896768,85,85,98,2,1.7332121,0.00137617,85,85,98,2,1.7332121,0.006584473,85,85,98,2,1.7332121,0.128552341,20,20,23,77,66.72866585,20.49377458,3.19001203,3.19001203,4,96,83.1941808,40.30192339,3.254713223,3.254713223,4,96,83.1941808,57.96695977,3.333343955,3.333343955,4,96,83.1941808,68.99318372,2.68614527,2.68614527,3,97,84.06078685,73.67398384,2.201889584,2.201889584,3,97,84.06078685,75.44438807,4.097451379,4.097451379,5,95,82.32757475,70.65550051,4.492024869,4.492024869,5,95,82.32757475,59.01808618,4.813383361,4.813383361,6,94,81.4609687,41.72447109,5.425941465,5.425941465,6,94,81.4609687,22.44966544,15,15,17,83,71.92830215,5.852734017,35.78153869,59.39140129,572.504619
2817,0.000788821,268.3939212,5.540402282,273,273,102,-2,-5.367878425,-0.036845118,273,273,102,-2,-5.367878425,-0.004262095,273,273,102,-2,-5.367878425,-0.02039257,273,273,102,-2,-5.367878425,-0.398135543,3.835768247,3.835768247,1,99,265.709982,81.60511539,3.136506108,3.136506108,1,99,265.709982,128.718418,2.9599582,2.9599582,1,99,265.709982,185.1379471,1.867832742,1.867832742,1,99,265.709982,220.3540852,3.273341811,3.273341811,1,99,265.709982,232.8780595,2.807935409,2.807935409,1,99,265.709982,238.4741775,2.984415417,2.984415417,1,99,265.709982,228.0386836,3.960098469,3.960098469,1,99,265.709982,190.4792491,5.151367437,5.151367437,2,98,263.0260428,134.7224652,5.032407036,5.032407036,2,98,263.0260428,72.48682109,6.556793192,6.556793192,2,98,263.0260428,21.40216608,115.5891702,192.8857647,1849.426723
2818,0.000501243,97.16769942,6.474405766,100,100,103,-3,-2.915030982,-0.020008773,100,100,103,-3,-2.915030982,-0.002314535,100,100,103,-3,-2.915030982,-0.011074203,81,81,83,17,16.5185089,1.225177805,4.496783051,4.496783051,5,95,92.30931444,28.35012896,3.468899441,3.468899441,4,96,93.28099144,45.18829724,3.468899441,3.468899441,4,96,93.28099144,64.99511656,2.205946741,2.205946741,2,98,95.22434543,78.96983534,2.065628067,2.065628067,2,98,95.22434543,83.45813963,1.382382618,1.382382618,1,99,96.19602242,86.33573773,1.93109888,1.93109888,2,98,95.22434543,81.72381863,2.00463278,2.00463278,2,98,95.22434543,68.26338128,2.499684714,2.499684714,3,97,94.25266843,48.27640528,2.499686286,2.499686286,3,97,94.25266843,25.97490439,2.85343469,2.85343469,3,97,94.25266843,7.669245378,41.35978605,69.76640818,661.7565768
2819,0.000189986,25.45359135,6.15626812,25,25,98,2,0.509071827,0.003494269,25,25,98,2,0.509071827,0.000404203,25,25,98,2,0.509071827,0.001933964,25,25,98,2,0.509071827,0.037757857,23,23,90,10,2.545359135,0.781733243,2.215616159,2.215616159,9,91,23.16276813,11.22078609,0.55980015,0.55980015,2,98,24.94451952,17.38051803,1.030628533,1.030628533,4,96,24.43544769,20.26439008,1.15558283,1.15558283,5,95,24.18091178,21.19304578,1.15558283,1.15558283,5,95,24.18091178,21.70231996,1.653850036,1.653850036,6,94,23.92637587,20.53419,1.446121575,1.446121575,6,94,23.92637587,17.15207714,1.860598879,1.860598879,7,93,23.67183995,12.12476377,2.422564187,2.422564187,10,90,22.90823221,6.313233899,2.422564187,2.422564187,10,90,22.90823221,1.864019947,10.03831122,16.1884841,160.6129794
2820,0.000601296,172.8659538,7.917938828,171,171,99,1,1.728659538,0.011865519,171,171,99,1,1.728659538,0.001372556,171,171,99,1,1.728659538,0.006567178,15,15,9,91,157.308018,11.66753569,4.577952454,4.577952454,3,97,167.6799752,51.49804167,5.191885974,5.191885974,3,97,167.6799752,81.22954575,5.804688373,5.804688373,3,97,167.6799752,116.8338733,6.001608605,6.001608605,3,97,167.6799752,139.0575065,5.844273517,5.844273517,3,97,167.6799752,146.9609344,4.530806943,4.530806943,3,97,167.6799752,150.4924424,4.624617437,4.624617437,3,97,167.6799752,143.906979,4.226905809,4.226905809,2,98,169.4086348,121.4437986,3.747256879,3.747256879,2,98,169.4086348,86.77144154,3.549153259,3.549153259,2,98,169.4086348,46.68698683,3.43395046,3.43395046,2,98,169.4086348,13.7846112,74.02356681,134.2592241,1184.377069
2821,0.000544345,212.6423786,6.326909304,215,215,101,-1,-2.126423786,-0.014595773,215,215,101,-1,-2.126423786,-0.00168838,215,215,101,-1,-2.126423786,-0.008078284,4.809860597,4.809860597,2,98,208.389531,15.45625152,3.220518525,3.220518525,2,98,208.389531,64.00080116,2.899032016,2.899032016,1,99,210.5159548,101.980665,2.899032016,2.899032016,1,99,210.5159548,146.6805703,2.8645784,2.8645784,1,99,210.5159548,174.5815129,2.659504294,2.659504294,1,99,210.5159548,184.5039719,1.188094025,1.188094025,1,99,210.5159548,188.9376484,1.869297677,1.869297677,1,99,210.5159548,180.6698448,2.152593966,2.152593966,1,99,210.5159548,150.912362,2.508848141,2.508848141,1,99,210.5159548,107.8266931,2.069077674,2.069077674,1,99,210.5159548,58.01567096,1.773759563,1.773759563,1,99,210.5159548,17.12947273,92.71140682,167.7039559,1483.382509
2822,0.000775096,352.1643694,3.728442947,350,350,99,1,3.521643694,0.024172562,350,350,99,1,3.521643694,0.002796185,350,350,99,1,3.521643694,0.013378724,350,350,99,1,3.521643694,0.261200313,15,15,4,96,338.0777946,103.8307904,7,7,2,98,345.121082,167.187696,11.16012395,11.16012395,3,97,341.5994383,238.0152158,9.367144042,9.367144042,3,97,341.5994383,283.289439,7.589556755,7.589556755,2,98,345.121082,302.4768857,7.328211547,7.328211547,2,98,345.121082,309.7454808,5.930396132,5.930396132,2,98,345.121082,296.1911955,5.584559366,5.584559366,2,98,345.121082,247.4066049,5.29955086,5.29955086,2,98,345.121082,176.7717084,4.499834857,4.499834857,1,99,348.6427257,96.08175149,7.09559411,7.09559411,2,98,345.121082,28.08215732,149.9586982,253.3235697,2399.339171
